id,question_vi,question_type,difficulty,expected_route,gold_sql,expected_answer_vi,row_count,tables_used,columns_used,metrics,dimensions,notes
GQ011,Huyện nào có nhiều hộ nghèo nhất trong năm 2024?,topk_query,medium,DATASET_QA,"SELECT ""administrative.district"" AS district, COUNT(*) AS poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ nghèo' GROUP BY district ORDER BY poor_household_count DESC LIMIT 1;","Theo kết quả truy vấn, địa phương/phân loại hàng đầu là Huyện Tuy Đức với giá trị 829.",1,households,"administrative.year,classify,administrative.district",poor_household_count,district,Top-1 huyện có nhiều hộ nghèo nhất.
GQ012,Huyện nào có ít hộ nghèo nhất trong năm 2024?,topk_query,medium,DATASET_QA,"SELECT ""administrative.district"" AS district, COUNT(*) AS poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ nghèo' GROUP BY district ORDER BY poor_household_count ASC LIMIT 1;","Theo kết quả truy vấn, địa phương/phân loại hàng đầu là Thành phố Gia Nghĩa với giá trị 51.",1,households,"administrative.year,classify,administrative.district",poor_household_count,district,Top-1 huyện có ít hộ nghèo nhất.
GQ013,Xã nào thuộc Huyện Krông Nô có nhiều hộ cận nghèo nhất năm 2024?,topk_query,medium,DATASET_QA,"SELECT ""administrative.commune"" AS commune, COUNT(*) AS near_poor_household_count FROM households WHERE ""administrative.year"" = 2024 AND ""administrative.district"" = 'Huyện Krông Nô' AND ""classify"" = 'Hộ cận nghèo' GROUP BY commune ORDER BY near_poor_household_count DESC LIMIT 1;","Theo kết quả truy vấn, địa phương/phân loại hàng đầu là Xã Đắk Nang với giá trị 55.",1,households,"administrative.year,administrative.district,classify,administrative.commune",near_poor_household_count,commune,Top-1 xã thuộc huyện có nhiều hộ cận nghèo nhất.
GQ014,So sánh số lượng hộ nghèo giữa năm 2023 và năm 2024 theo từng huyện.,comparison_by_year,medium,DATASET_QA,"WITH poor_by_year AS (SELECT ""administrative.district"" AS district, ""administrative.year"" AS year, COUNT(*) AS poor_count FROM households WHERE ""classify"" = 'Hộ nghèo' AND ""administrative.year"" IN (2023, 2024) GROUP BY district, year) SELECT district, SUM(CASE WHEN year = 2023 THEN poor_count ELSE 0 END) AS poor_2023, SUM(CASE WHEN year = 2024 THEN poor_count ELSE 0 END) AS poor_2024, SUM(CASE WHEN year = 2024 THEN poor_count ELSE 0 END) - SUM(CASE WHEN year = 2023 THEN poor_count ELSE 0 END) AS diff_poor FROM poor_by_year GROUP BY district ORDER BY diff_poor DESC;","Theo kết quả truy vấn, Huyện Tuy Đức là địa phương có mức thay đổi nổi bật nhất, với chênh lệch -845 đơn vị giữa năm 2023 và 2024.",8,households,"administrative.district,administrative.year,classify","poor_2023,poor_2024,diff_poor",district,So sánh chênh lệch tuyệt đối số hộ nghèo giữa 2 năm.
GQ015,Huyện nào giảm được nhiều hộ nghèo nhất từ năm 2023 sang năm 2024?,comparison_by_year,medium,DATASET_QA,"WITH poor_by_year AS (SELECT ""administrative.district"" AS district, ""administrative.year"" AS year, COUNT(*) AS poor_count FROM households WHERE ""classify"" = 'Hộ nghèo' AND ""administrative.year"" IN (2023, 2024) GROUP BY district, year) SELECT district, SUM(CASE WHEN year = 2023 THEN poor_count ELSE 0 END) AS poor_2023, SUM(CASE WHEN year = 2024 THEN poor_count ELSE 0 END) AS poor_2024, SUM(CASE WHEN year = 2024 THEN poor_count ELSE 0 END) - SUM(CASE WHEN year = 2023 THEN poor_count ELSE 0 END) AS diff_poor FROM poor_by_year GROUP BY district ORDER BY diff_poor ASC LIMIT 1;","Theo kết quả truy vấn, Huyện Tuy Đức là địa phương có mức thay đổi nổi bật nhất, với chênh lệch -845 đơn vị giữa năm 2023 và 2024.",1,households,"administrative.district,administrative.year,classify",diff_poor,district,Tìm huyện có lượng giảm hộ nghèo (hiệu số 2024 - 2023 âm nhất) nhiều nhất.
GQ016,Huyện nào có số hộ cận nghèo tăng nhiều nhất từ năm 2023 sang năm 2024?,comparison_by_year,medium,DATASET_QA,"WITH near_poor_by_year AS (SELECT ""administrative.district"" AS district, ""administrative.year"" AS year, COUNT(*) AS near_poor_count FROM households WHERE ""classify"" = 'Hộ cận nghèo' AND ""administrative.year"" IN (2023, 2024) GROUP BY district, year) SELECT district, SUM(CASE WHEN year = 2023 THEN near_poor_count ELSE 0 END) AS near_poor_2023, SUM(CASE WHEN year = 2024 THEN near_poor_count ELSE 0 END) AS near_poor_2024, SUM(CASE WHEN year = 2024 THEN near_poor_count ELSE 0 END) - SUM(CASE WHEN year = 2023 THEN near_poor_count ELSE 0 END) AS diff_near_poor FROM near_poor_by_year GROUP BY district ORDER BY diff_near_poor DESC LIMIT 1;","Theo kết quả truy vấn, Huyện Cư Jút là địa phương có mức thay đổi nổi bật nhất, với chênh lệch -1 đơn vị giữa năm 2023 và 2024.",1,households,"administrative.district,administrative.year,classify",diff_near_poor,district,Tìm huyện có lượng tăng hộ cận nghèo nhiều nhất.
GQ017,Điểm B1 trung bình theo từng huyện trong năm 2024 là bao nhiêu?,average_measure,medium,DATASET_QA,"SELECT ""administrative.district"" AS district, ROUND(AVG(b1Point), 2) AS avg_b1 FROM households WHERE ""administrative.year"" = 2024 GROUP BY district ORDER BY avg_b1 DESC;","Theo kết quả truy vấn, điểm trung bình cao nhất ghi nhận tại Thành phố Gia Nghĩa với 135.28 điểm.",8,households,"administrative.year,b1Point,administrative.district",avg_b1,district,Điểm B1 trung bình năm 2024 nhóm theo huyện.
GQ018,Thống kê điểm B2 trung bình theo từng huyện năm 2024.,average_measure,medium,DATASET_QA,"SELECT ""administrative.district"" AS district, ROUND(AVG(b2Point), 2) AS avg_b2 FROM households WHERE ""administrative.year"" = 2024 GROUP BY district ORDER BY avg_b2 DESC;","Theo kết quả truy vấn, điểm trung bình cao nhất ghi nhận tại Huyện Đăk Glong với 26.07 điểm.",8,households,"administrative.year,b2Point,administrative.district",avg_b2,district,Điểm B2 trung bình năm 2024 nhóm theo huyện.
GQ019,Tìm 5 xã có số hộ nghèo cao nhất trong năm 2024.,topk_query,medium,DATASET_QA,"SELECT ""administrative.commune"" AS commune, ""administrative.district"" AS district, COUNT(*) AS poor_count FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ nghèo' GROUP BY commune, district ORDER BY poor_count DESC LIMIT 5;","Theo kết quả truy vấn, địa phương/phân loại hàng đầu là Xã Đắk Búk So với giá trị 153.",5,households,"administrative.year,classify,administrative.commune,administrative.district",poor_count,"commune,district",Top 5 xã nghèo nhất.
GQ020,Tỷ lệ hộ nghèo trên tổng số hộ của từng huyện trong năm 2024 là bao nhiêu?,ratio_query,medium,DATASET_QA,"WITH base AS (SELECT ""administrative.district"" AS district, COUNT(*) AS total_hhs, SUM(CASE WHEN ""classify"" = 'Hộ nghèo' THEN 1 ELSE 0 END) AS poor_hhs FROM households WHERE ""administrative.year"" = 2024 GROUP BY district) SELECT district, total_hhs, poor_hhs, ROUND(100.0 * poor_hhs / NULLIF(total_hhs, 0), 2) AS poor_rate FROM base ORDER BY poor_rate DESC;","Theo kết quả truy vấn, tỷ lệ cao nhất thuộc về Huyện Tuy Đức, đạt 43.24%.",8,households,"administrative.district,administrative.year,classify","total_hhs,poor_hhs,poor_rate",district,Tính toán tỷ lệ phần trăm hộ nghèo năm 2024 theo huyện.
GQ021,Thống kê tỷ lệ hộ cận nghèo trên tổng số hộ của từng huyện năm 2024.,ratio_query,medium,DATASET_QA,"WITH base AS (SELECT ""administrative.district"" AS district, COUNT(*) AS total_hhs, SUM(CASE WHEN ""classify"" = 'Hộ cận nghèo' THEN 1 ELSE 0 END) AS near_poor_hhs FROM households WHERE ""administrative.year"" = 2024 GROUP BY district) SELECT district, total_hhs, near_poor_hhs, ROUND(100.0 * near_poor_hhs / NULLIF(total_hhs, 0), 2) AS near_poor_rate FROM base ORDER BY near_poor_rate DESC;","Theo kết quả truy vấn, tỷ lệ cao nhất thuộc về Thành phố Gia Nghĩa, đạt 67.30%.",8,households,"administrative.district,administrative.year,classify","total_hhs,near_poor_hhs,near_poor_rate",district,Tính toán tỷ lệ phần trăm hộ cận nghèo năm 2024 theo huyện.
GQ022,Phân bố số lượng hộ gia đình theo từng trạng thái classify trong năm 2024.,aggregate_by_dimension,medium,DATASET_QA,"SELECT ""classify"" AS poverty_status, COUNT(*) AS household_count FROM households WHERE ""administrative.year"" = 2024 GROUP BY poverty_status ORDER BY household_count DESC;","Theo kết quả truy vấn, phân bố số lượng hộ gia đình theo từng trạng thái classify trong năm 2024. được liệt kê chi tiết. Địa phương/nhóm có giá trị cao nhất là Hộ cận nghèo với 3.683 hộ.",3,households,"administrative.year,classify",household_count,poverty_status,Thống kê phân phối của tất cả các nhãn phân loại hộ năm 2024.
GQ023,Huyện nào có tỷ lệ hộ nghèo cao nhất trong năm 2024?,ratio_query,hard,DATASET_QA,"WITH base AS (SELECT ""administrative.district"" AS district, COUNT(*) AS total_hhs, SUM(CASE WHEN ""classify"" = 'Hộ nghèo' THEN 1 ELSE 0 END) AS poor_hhs FROM households WHERE ""administrative.year"" = 2024 GROUP BY district) SELECT district, ROUND(100.0 * poor_hhs / NULLIF(total_hhs, 0), 2) AS poor_rate FROM base ORDER BY poor_rate DESC LIMIT 1;","Theo kết quả truy vấn, tỷ lệ cao nhất thuộc về Huyện Tuy Đức, đạt 43.24%.",1,households,"administrative.district,administrative.year,classify",poor_rate,district,Tính tỷ lệ nghèo năm 2024 và lấy huyện cao nhất (Top-1).
GQ024,Huyện nào có tỷ lệ hộ nghèo giảm nhiều nhất từ năm 2023 sang năm 2024?,comparison_by_year,hard,DATASET_QA,"WITH by_year AS (SELECT ""administrative.district"" AS district, ""administrative.year"" AS year, COUNT(*) AS total_hhs, SUM(CASE WHEN ""classify"" = 'Hộ nghèo' THEN 1 ELSE 0 END) AS poor_hhs FROM households WHERE ""administrative.year"" IN (2023, 2024) GROUP BY district, year), rates AS (SELECT district, SUM(CASE WHEN year = 2023 THEN 100.0 * poor_hhs / NULLIF(total_hhs, 0) ELSE 0 END) AS rate_2023, SUM(CASE WHEN year = 2024 THEN 100.0 * poor_hhs / NULLIF(total_hhs, 0) ELSE 0 END) AS rate_2024 FROM by_year GROUP BY district) SELECT district, ROUND(rate_2023, 2) AS poor_rate_2023, ROUND(rate_2024, 2) AS poor_rate_2024, ROUND(rate_2024 - rate_2023, 2) AS rate_diff FROM rates ORDER BY rate_diff ASC LIMIT 1;","Theo kết quả truy vấn, Huyện Cư Jút là địa phương có mức thay đổi nổi bật nhất, với chênh lệch -38.51 đơn vị giữa năm 2023 và 2024.",1,households,"administrative.district,administrative.year,classify","poor_rate_2023,poor_rate_2024,rate_diff",district,So sánh hiệu số phần trăm tỷ lệ hộ nghèo giữa 2 năm để tìm huyện giảm mạnh nhất.
GQ025,Xã nào có điểm B1 trung bình cao nhất trong năm 2024?,topk_query,hard,DATASET_QA,"SELECT ""administrative.commune"" AS commune, ""administrative.district"" AS district, ROUND(AVG(b1Point), 2) AS avg_b1 FROM households WHERE ""administrative.year"" = 2024 GROUP BY commune, district ORDER BY avg_b1 DESC LIMIT 1;","Theo kết quả truy vấn, địa phương/phân loại hàng đầu là Thị trấn Đắk Mâm với giá trị 149.42.",1,households,"administrative.year,b1Point,administrative.commune,administrative.district",avg_b1,"commune,district",Tính điểm B1 trung bình cấp xã năm 2024 và sắp xếp lấy cao nhất.
GQ026,Xã nào có điểm B2 trung bình cao nhất trong năm 2024?,topk_query,hard,DATASET_QA,"SELECT ""administrative.commune"" AS commune, ""administrative.district"" AS district, ROUND(AVG(b2Point), 2) AS avg_b2 FROM households WHERE ""administrative.year"" = 2024 GROUP BY commune, district ORDER BY avg_b2 DESC LIMIT 1;","Theo kết quả truy vấn, địa phương/phân loại hàng đầu là Xã Quảng Khê với giá trị 26.74.",1,households,"administrative.year,b2Point,administrative.commune,administrative.district",avg_b2,"commune,district",Tính điểm B2 trung bình cấp xã năm 2024 và sắp xếp lấy cao nhất.
GQ027,"Trong số các hộ nghèo năm 2024, huyện nào có điểm B1 trung bình cao nhất?",average_measure,hard,DATASET_QA,"SELECT ""administrative.district"" AS district, ROUND(AVG(b1Point), 2) AS avg_b1 FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ nghèo' GROUP BY district ORDER BY avg_b1 DESC LIMIT 1;","Theo kết quả truy vấn, điểm trung bình cao nhất ghi nhận tại Thành phố Gia Nghĩa với 122.12 điểm.",1,households,"administrative.district,administrative.year,classify,b1Point",avg_b1,district,Tính điểm B1 trung bình cho nhóm đối tượng hộ nghèo năm 2024 phân tổ theo huyện.
GQ028,"Trong số các hộ cận nghèo năm 2024, huyện nào có điểm B2 trung bình cao nhất?",average_measure,hard,DATASET_QA,"SELECT ""administrative.district"" AS district, ROUND(AVG(b2Point), 2) AS avg_b2 FROM households WHERE ""administrative.year"" = 2024 AND ""classify"" = 'Hộ cận nghèo' GROUP BY district ORDER BY avg_b2 DESC LIMIT 1;","Theo kết quả truy vấn, điểm trung bình cao nhất ghi nhận tại Huyện Cư Jút với 18.19 điểm.",1,households,"administrative.district,administrative.year,classify,b2Point",avg_b2,district,Tính điểm B2 trung bình cho nhóm đối tượng hộ cận nghèo năm 2024 phân tổ theo huyện.
GQ029,Số lượng nhân khẩu thuộc diện hộ nghèo tại các huyện trong năm 2024 là bao nhiêu?,members_query,hard,DATASET_QA,"SELECT h.""administrative.district"" AS district, COUNT(m.""member.fullName"") AS member_count FROM households h JOIN members m ON h.""family.code"" = m.""family.code"" AND h.""administrative.year"" = m.""administrative.year"" WHERE h.""administrative.year"" = 2024 AND h.""classify"" = 'Hộ nghèo' GROUP BY district ORDER BY member_count DESC;","Theo kết quả truy vấn thành viên, huyện có giá trị nổi bật nhất là Huyện Tuy Đức với 10.550.",8,"households,members","administrative.district,administrative.year,classify,family.code,member.fullName",member_count,district,Truy vấn liên kết (JOIN) households và members để đếm số nhân khẩu.
GQ030,Độ tuổi trung bình của nhân khẩu thuộc diện hộ nghèo theo từng huyện năm 2024 là bao nhiêu?,members_query,hard,DATASET_QA,"SELECT h.""administrative.district"" AS district, ROUND(AVG(m.""administrative.year"" - m.""member.birthYear""), 2) AS avg_age FROM households h JOIN members m ON h.""family.code"" = m.""family.code"" AND h.""administrative.year"" = m.""administrative.year"" WHERE h.""administrative.year"" = 2024 AND h.""classify"" = 'Hộ nghèo' GROUP BY district ORDER BY avg_age DESC;","Theo kết quả truy vấn thành viên, huyện có giá trị nổi bật nhất là Thành phố Gia Nghĩa với 38.60.",8,"households,members","administrative.district,administrative.year,classify,family.code,member.birthYear",avg_age,district,Truy vấn liên kết (JOIN) households và members để tính độ tuổi trung bình (năm khảo sát - năm sinh).
